ProductName,Stars,Rating,CurrentPrice,ImageURL 
GIGABYTE NVIDIA ?GV-N3070GAMING OC-8GD 8 GB GDDR6,0,0,₹159800,https://rukminim1.flixcart.com/image/612/612/kq43iq80/graphics-card/m/o/z/gv-n3090gaming-oc-24gd-gigabyte-original-imag474njeh2zuph.jpeg?q=70
Colorful NVIDIA Battle AX 12 GB GDDR6X,0,0,₹134599,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/k/9/r/battle-ax-colorful-original-imagedpfkt5a6kzz.jpeg?q=70
MSI NVIDIA RTX 3090 VENTUS 24 GB GDDR6X,0,0,₹182772,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/5/g/x/rtx-3090-ventus-msi-original-imagccn2kczfe2cb.jpeg?q=70
GIGABYTE AMD/ATI GV-R69XTAORUS M-16GD 16 GB GDDR6,0,0,₹160647,https://rukminim1.flixcart.com/image/612/612/l0h1g280/graphics-card/n/f/x/gv-r69xtaorus-m-16gd-gigabyte-original-imagc9y8tegm7fha.jpeg?q=70
VIBOTON NVIDIA NVIDIA VER 009S PCI-E Riser 1X to 16X,0,0,₹616,https://rukminim1.flixcart.com/image/612/612/kyag87k0/graphics-card/z/d/h/nvidia-ver-009s-pci-e-riser-1x-to-16x-graphics-extension-for-gpu-original-imagak4xzbjzhsg3.jpeg?q=70
Colorful NVIDIA iGame Ultra 8 GB GDDR6,0,0,₹38499,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/l/c/m/igame-ultra-colorful-original-imagedpf7nsztmh6.jpeg?q=70
Etzin NVIDIA 6 in 1 PCI-E Riser Adapter Board 1 to 6 PC...,0,0,₹3799,https://rukminim1.flixcart.com/image/612/612/l23mhzk0/graphics-card/f/x/g/6-in-1-pci-e-riser-adapter-board-1-to-6-pci-e-1x-express-usb3-0-original-imagdgjvjqw4r3gn.jpeg?q=70
amd AMD/ATI Sapphire NITRO+ Radeon™ RX 6800,0,0,₹117249,https://rukminim1.flixcart.com/image/612/612/l0vbukw0/graphics-card/e/k/0/sapphire-nitro-radeon-rx-6800-graphic-card-with-16-gb-gddr6-rdna-original-imagckhgtzjfgczd.jpeg?q=70
ZEBRONICS NVIDIA ZEB GT730 4 GB GDDR3,0,0,₹7500,https://rukminim1.flixcart.com/image/612/612/l0zm64w0/graphics-card/o/n/h/zeb-gt730-zebronics-original-imagcnhhhdjhaevq.jpeg?q=70
ogheo AMD/ATI RX580 8 GB GDDR5,0,0,₹54998,https://rukminim1.flixcart.com/image/612/612/kylvr0w0/graphics-card/e/r/y/rx580-ogheo-original-imagat69jnhgaesh.jpeg?q=70
Verilux NVIDIA NVME Adapter PCIe x16 with Gel Pad, M.2 ...,4.3,3,₹720,https://rukminim1.flixcart.com/image/612/612/kwb07m80/graphics-card/s/o/b/nvme-adapter-pcie-x16-with-gel-pad-m-2-nvme-or-ahci-ssd-to-pcie-original-imag9y7gf8gqzz47.jpeg?q=70
GIGABYTE AMD/ATI GV-R69XTGAMING OC-16GD 16 GB GDDR6,0,0,₹152834,https://rukminim1.flixcart.com/image/612/612/l0h1g280/graphics-card/i/m/j/gv-r69xtgaming-oc-16gd-gigabyte-original-imagc9y85mjxq5gg.jpeg?q=70
MSI NVIDIA GeForce RTX 3070 VENTUS 3X 8G OC LHR 8 GB GD...,0,0,₹62207,https://rukminim1.flixcart.com/image/612/612/l3bx5e80/graphics-card/d/g/m/geforce-rtx-3070-ventus-3x-8g-oc-lhr-msi-original-imageh5fyjewgfpv.jpeg?q=70
